Time,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13
244,219.0,190.0,85.0,143.0,70.0,16.0,0.0,0.0,0.0,0.0,-1.0,0.0
245,216.0,190.0,84.0,141.0,69.0,14.0,0.0,0.0,0.0,0.0,-1.0,0.0
246,216.0,190.0,84.0,141.0,69.0,14.0,0.0,0.0,0.0,0.0,-1.0,0.0
247,216.0,190.0,84.0,141.0,69.0,14.0,0.0,0.0,0.0,0.0,-1.0,0.0
248,216.0,190.0,84.0,141.0,69.0,14.0,0.0,0.0,0.0,0.0,-1.0,0.0
249,214.0,187.0,82.0,138.0,66.0,14.0,0.0,0.0,0.0,0.0,-1.0,0.0
250,214.0,187.0,82.0,138.0,66.0,14.0,0.0,0.0,0.0,0.0,-1.0,0.0
251,214.0,187.0,82.0,138.0,66.0,14.0,0.0,0.0,0.0,0.0,-1.0,0.0
252,210.0,184.0,79.0,135.0,65.0,13.0,0.0,0.0,0.0,0.0,-1.0,0.0
253,210.0,184.0,79.0,135.0,65.0,13.0,0.0,0.0,0.0,0.0,-1.0,0.0
254,210.0,184.0,79.0,135.0,65.0,13.0,0.0,0.0,0.0,0.0,-1.0,0.0
255,210.0,184.0,79.0,135.0,65.0,13.0,0.0,0.0,0.0,0.0,-1.0,0.0
256,210.0,183.0,78.0,132.0,64.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
257,210.0,183.0,78.0,132.0,64.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
258,210.0,183.0,78.0,132.0,64.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
259,210.0,183.0,78.0,132.0,64.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
260,207.0,182.0,79.0,130.0,60.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
261,207.0,182.0,79.0,130.0,60.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
262,207.0,182.0,79.0,130.0,60.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
263,204.0,182.0,79.0,130.0,62.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
264,204.0,178.0,75.0,126.0,62.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
265,204.0,178.0,75.0,126.0,62.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
266,204.0,178.0,75.0,126.0,62.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
267,204.0,178.0,75.0,126.0,62.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
